PlaceName SalonNo StartAt EndsAt
istanbul salon1 10:30 12:00
istanbul salon1 13:00 14:30
istanbul salon1 15:00 16:30
istanbul salon2 10:00 11:30
istanbul salon2 12:30 14:00
istanbul salon2 15:00 16:30
istanbul salon3 11:30 13:00
istanbul salon3 14:00 15:30
istanbul salon3 16:00 17:30
istanbul salon4 10:30 12:00
istanbul salon4 13:00 14:30
istanbul salon4 15:00 16:30
ankara salon1 10:00 11:30
ankara salon1 13:00 14:30
ankara salon1 15:00 16:30
ankara salon2 11:30 13:00
ankara salon2 14:00 15:30
ankara salon2 16:00 17:30
ankara salon3 10:00 11:30
ankara salon3 13:00 14:30
ankara salon3 15:00 16:30
ankara salon4 11:30 13:00
ankara salon4 14:00 15:30
ankara salon4 16:00 17:30
izmir salon1 10:30 12:00
izmir salon1 13:00 14:30
izmir salon1 15:00 16:30
izmir salon2 11:30 13:00
izmir salon2 14:00 15:30
izmir salon2 16:00 17:30
izmir salon3 10:00 11:30
izmir salon3 13:00 14:30
izmir salon3 15:00 16:30
izmir salon4 11:30 13:00
izmir salon4 14:00 15:30
izmir salon4 16:00 17:30
